Test Name,Frequency,Months Conducted,Fields Allowed,Topics,Marks Distribution,Rules,Accepted Alternative Tests,Source
NAT-IM,Multiple times/year,Feb–Mar; May–Jun; Aug; Oct–Nov,Pre-Medical (Undergraduate),Biology; Chemistry; Verbal; Quantitative; Analytical,120 MCQs; 100 marks,1 mark/MCQ; No negative marking; Valid for 1 year,Accepted by universities using NTS NAT,nts.org.pk
NAT-IE,Multiple times/year,Feb–Mar; May–Jun; Aug; Oct–Nov,Pre-Engineering (Undergraduate),Mathematics; Physics; Verbal; Quantitative; Analytical,120 MCQs; 100 marks,1 mark/MCQ; No negative marking; Valid for 1 year,Accepted by universities using NTS NAT,nts.org.pk
NAT-ICOM,Multiple times/year,Feb–Mar; May–Jun; Aug; Oct–Nov,Commerce (Undergraduate),Accounting; Economics; Verbal; Quantitative; Analytical,120 MCQs; 100 marks,1 mark/MCQ; No negative marking,Accepted by universities using NTS NAT,nts.org.pk
NAT-IA,Multiple times/year,Feb–Mar; May–Jun; Aug; Oct–Nov,Arts; Humanities (Undergraduate),Verbal; Analytical; Quantitative,120 MCQs; 100 marks,1 mark/MCQ; No negative marking,Accepted by universities using NTS NAT,nts.org.pk
GAT-General (NTS),Multiple times/year,Jan–Dec (multiple sessions),MS; MPhil Programs,Verbal; Quantitative; Analytical,100 MCQs,Rules vary by session,Accepted by most public universities for MS/MPhil,nts.org.pk
GAT-Subject (NTS),Multiple times/year,Jan–Dec (multiple sessions),MS; PhD Programs,General; Subject-specific,100 MCQs (?30% General; 70% Subject),Rules vary,Mandatory for many PhD programs,nts.org.pk
ECAT (UET),Once per admission cycle,Jun; Jul,Engineering (Undergraduate),Mathematics; Physics; Chemistry/CS; English,100 MCQs; 400 marks,1 negative marking,Some universities accept NTS NAT,uet.edu.pk
NUST NET,4 series/year,Feb (NET-1); Apr (NET-2); Jun (NET-3); Dec (NET-4),All NUST Undergraduate Programs,Mathematics; Physics; English; Intelligence,200 MCQs,No negative marking (recent years),ACT accepted for selected programs,ugadmissions.nust.edu.pk
FAST Admission Test,Once per admission cycle,Jun; Jul,Computer Science; Engineering; Business,Mathematics; English; Logic; Physics (Engineering only),Varies by campus,Varies,SAT accepted for selected programs,nu.edu.pk
GIKI Entry Test,Once per admission cycle,Jun; Jul,Engineering; Computer Science,Mathematics; Physics; English; Analytical,MCQs (varies by year),Varies,SAT accepted (minimum score required),giki.edu.pk
PIEAS Entry Test,Once per admission cycle,Jun; Jul,Engineering; Computer Science; Physics,Mathematics; Physics; English,MCQs + Interview,Highly selective,No alternative for undergraduate; GAT for graduate,pieas.edu.pk
SZABIST Admission Test,Once per admission cycle,Jun; Jul,Business; Computer Science; Social Sciences,English; Mathematics; IQ,MCQs,No negative marking,SAT accepted for some programs,szabist.edu.pk
Habib University Admission Test,Once per admission cycle,Jan; Feb,Liberal Arts; Computer Science; Electrical Engineering,English; Mathematics; Critical Thinking,MCQs + Written Components,Holistic evaluation,SAT accepted as alternative,habib.edu.pk
Air University CBT,Once per admission cycle,Mar–Apr; Jun–Jul,Engineering; Computer Science; Business,Mathematics; Physics; English; IQ (program-based),100 MCQs; 100 marks,1 mark/MCQ; No negative marking,Accepts NTS NAT for some programs,au.edu.pk
Bahria University CBT,Once per admission cycle,Apr–May; Jul–Aug,Engineering; Computer Science; Business; Social Sciences,Mathematics; English; IQ; Subject-based,100 MCQs; 100 marks,1 mark/MCQ; No negative marking,Accepts NTS NAT; SAT for selected programs,bahria.edu.pk
UET Taxila Entry Test,Once per admission cycle,Jun–Jul,Engineering (Undergraduate),Mathematics; Physics; Chemistry; English,100 MCQs; 400 marks,1 negative marking,Accepts ECAT scores,uettaxila.edu.pk
UCP Admission Test,Once per admission cycle,May–Aug,Business; Computer Science; Social Sciences,English; Mathematics; IQ,100 MCQs; 100 marks,No negative marking,Accepts NTS NAT; SAT,ucp.edu.pk
SAT,Multiple times/year,Mar; May; Jun; Aug; Oct; Dec,Universities accepting SAT (mostly private),Reading/Writing; Mathematics,1600 score scale,No negative marking,Used as alternative to local entry tests,collegeboard.org
ACT,Multiple times/year,Feb; Apr; Jun; Jul; Sep; Oct; Dec,Universities accepting ACT,English; Mathematics; Reading; Science,Composite score (1–36),No negative marking,Alternative to SAT/NET at some universities,act.org
GRE General,Multiple times/year,Year-round (computer-based),Graduate Programs,Verbal; Quantitative; Analytical Writing,Scaled scores,No negative marking,Alternative to GAT-General in some cases,ets.org
GMAT,Multiple times/year,Year-round,MBA; Business Graduate Programs,Quantitative; Verbal; IR; AWA,Scaled scores,No negative marking,Alternative to university MBA tests,gmac.com
ETEA Entry Test,Once per admission cycle,Jul–Aug,Engineering; Computer Science (KPK),Mathematics; Physics; Chemistry/CS; English,90 MCQs; 100 marks,1 mark/MCQ; No negative marking,No alternative officially accepted,etea.edu.pk
IBA Aptitude Test,Multiple times/year,Jan; Mar–Apr,Business; Economics,Advanced Mathematics; English,150 MCQs; 100 marks,Sectional cutoffs; No negative marking,SAT accepted as alternative,iba.edu.pk
LUMS Admission Test,Once per admission cycle,Feb–Mar,Multi-discipline (SSE; SDSB; HSS; SAHSOL),Mathematics; English; Science Aptitude,120 MCQs; 100 marks,No negative marking,SAT accepted (primary alternative),lums.edu.pk
COMSATS Admission Test,Multiple times/year,Apr; Jun; Jul,Science; Engineering; Business,Mathematics; English; General Knowledge; Subject-based,120 MCQs; 100 marks,1 mark/MCQ; No negative marking,Accepts NTS NAT,comsats.edu.pk
